País,Capital,Continente,Subregión,Población
Comoros;Moroni;Africa;Eastern Africa;806153
Congo;Brazzaville;Africa;Middle Africa;4741000
Congo (Democratic Republic of the);Kinshasa;Africa;Middle Africa;85026000
Cook Islands;Avarua;Oceania;Polynesia;18100
Costa Rica;San José;Americas;Central America;4890379
Croatia;Zagreb;Europe;Southern Europe;4190669
Cuba;Havana;Americas;Caribbean;11239004
Curaçao;Willemstad;Americas;Caribbean;154843
Cyprus;Nicosia;Europe;Southern Europe;847000
Czech Republic;Prague;Europe;Eastern Europe;10558524
Denmark;Copenhagen;Europe;Northern Europe;5717014
Djibouti;Djibouti;Africa;Eastern Africa;900000
Dominica;Roseau;Americas;Caribbean;71293
Dominican Republic;Santo Domingo;Americas;Caribbean;10075045
Ecuador;Quito;Americas;South America;16545799
Egypt;Cairo;Africa;Northern Africa;91290000
El Salvador;San Salvador;Americas;Central America;6520675
Equatorial Guinea;Malabo;Africa;Middle Africa;1222442
Eritrea;Asmara;Africa;Eastern Africa;5352000
Estonia;Tallinn;Europe;Northern Europe;1315944
Ethiopia;Addis Ababa;Africa;Eastern Africa;92206005
Falkland Islands (Malvinas);Stanley;Americas;South America;2563
Faroe Islands;Tórshavn;Europe;Northern Europe;49376
Fiji;Suva;Oceania;Melanesia;867000
Finland;Helsinki;Europe;Northern Europe;5491817
France;Paris;Europe;Western Europe;66710000
French Guiana;Cayenne;Americas;South America;254541
French Polynesia;Papeet?;Oceania;Polynesia;271800
French Southern Territories;Port-aux-Français;Africa;Southern Africa;140
Gabon;Libreville;Africa;Middle Africa;1802278
Gambia;Banjul;Africa;Western Africa;1882450
Georgia;Tbilisi;Asia;Western Asia;3720400
Germany;Berlin;Europe;Western Europe;81770900
Ghana;Accra;Africa;Western Africa;27670174
Gibraltar;Gibraltar;Europe;Southern Europe;33140
Greece;Athens;Europe;Southern Europe;10858018
Greenland;Nuuk;Americas;Northern America;55847
Grenada;St. George's;Americas;Caribbean;103328
Guadeloupe;Basse-Terre;Americas;Caribbean;400132
Guam;Hagåtña;Oceania;Micronesia;184200
Guatemala;Guatemala City;Americas;Central America;16176133
Guernsey;St. Peter Port;Europe;Northern Europe;62999
Guinea;Conakry;Africa;Western Africa;12947000
Guinea-Bissau;Bissau;Africa;Western Africa;1547777
Guyana;Georgetown;Americas;South America;746900
Haiti;Port-au-Prince;Americas;Caribbean;11078033
Heard Island and McDonald Islands;;;;0
Holy See;Rome;Europe;Southern Europe;451
Honduras;Tegucigalpa;Americas;Central America;8576532
Hong Kong;City of Victoria;Asia;Eastern Asia;7324300
Hungary;Budapest;Europe;Eastern Europe;9823000
Iceland;Reykjavík;Europe;Northern Europe;334300
India;New Delhi;Asia;Southern Asia;1295210000
Indonesia;Jakarta;Asia;South-Eastern Asia;258705000
Côte d'Ivoire;Yamoussoukro;Africa;Western Africa;22671331
Iran (Islamic Republic of);Tehran;Asia;Southern Asia;79369900
Iraq;Baghdad;Asia;Western Asia;37883543
Ireland;Dublin;Europe;Northern Europe;6378000
Isle of Man;Douglas;Europe;Northern Europe;84497
Israel;Jerusalem;Asia;Western Asia;8527400
Italy;Rome;Europe;Southern Europe;60665551
Jamaica;Kingston;Americas;Caribbean;2723246
Japan;Tokyo;Asia;Eastern Asia;126960000
Jersey;Saint Helier;Europe;Northern Europe;100800
Jordan;Amman;Asia;Western Asia;9531712
Kazakhstan;Astana;Asia;Central Asia;17753200
Kenya;Nairobi;Africa;Eastern Africa;47251000
Kiribati;South Tarawa;Oceania;Micronesia;113400
Kuwait;Kuwait City;Asia;Western Asia;4183658
Kyrgyzstan;Bishkek;Asia;Central Asia;6047800
Lao People's Democratic Republic;Vientiane;Asia;South-Eastern Asia;6492400
Latvia;Riga;Europe;Northern Europe;1961600
Lebanon;Beirut;Asia;Western Asia;5988000
Lesotho;Maseru;Africa;Southern Africa;1894194
Liberia;Monrovia;Africa;Western Africa;4615000
Libya;Tripoli;Africa;Northern Africa;6385000
Liechtenstein;Vaduz;Europe;Western Europe;37623
Lithuania;Vilnius;Europe;Northern Europe;2872294
Luxembourg;Luxembourg;Europe;Western Europe;576200
Macao;;Asia;Eastern Asia;649100
Macedonia (the former Yugoslav Republic of);Skopje;Europe;Southern Europe;2058539
Madagascar;Antananarivo;Africa;Eastern Africa;22434363
Malawi;Lilongwe;Africa;Eastern Africa;16832910
Malaysia;Kuala Lumpur;Asia;South-Eastern Asia;31405416
Maldives;Malé;Asia;Southern Asia;344023
Mali;Bamako;Africa;Western Africa;18135000
Malta;Valletta;Europe;Southern Europe;425384
Marshall Islands;Majuro;Oceania;Micronesia;54880
Martinique;Fort-de-France;Americas;Caribbean;378243
Mauritania;Nouakchott;Africa;Western Africa;3718678
Mauritius;Port Louis;Africa;Eastern Africa;1262879
Mayotte;Mamoudzou;Africa;Eastern Africa;226915
Mexico;Mexico City;Americas;Central America;122273473
Micronesia (Federated States of);Palikir;Oceania;Micronesia;102800
Moldova (Republic of);Chi?in?u;Europe;Eastern Europe;3553100
Monaco;Monaco;Europe;Western Europe;38400
Mongolia;Ulan Bator;Asia;Eastern Asia;3093100
Montenegro;Podgorica;Europe;Southern Europe;621810
Montserrat;Plymouth;Americas;Caribbean;4922
Morocco;Rabat;Africa;Northern Africa;33337529
Mozambique;Maputo;Africa;Eastern Africa;26423700
Myanmar;Naypyidaw;Asia;South-Eastern Asia;51419420
Namibia;Windhoek;Africa;Southern Africa;2324388
Nauru;Yaren;Oceania;Micronesia;10084
Nepal;Kathmandu;Asia;Southern Asia;28431500
Netherlands;Amsterdam;Europe;Western Europe;17019800
New Caledonia;Nouméa;Oceania;Melanesia;268767
New Zealand;Wellington;Oceania;Australia and New Zealand;4697854
Nicaragua;Managua;Americas;Central America;6262703
Niger;Niamey;Africa;Western Africa;20715000
Nigeria;Abuja;Africa;Western Africa;186988000
Niue;Alofi;Oceania;Polynesia;1470
Norfolk Island;Kingston;Oceania;Australia and New Zealand;2302
Korea (Democratic People's Republic of);Pyongyang;Asia;Eastern Asia;25281000
Northern Mariana Islands;Saipan;Oceania;Micronesia;56940
Norway;Oslo;Europe;Northern Europe;5223256
Oman;Muscat;Asia;Western Asia;4420133
Pakistan;Islamabad;Asia;Southern Asia;194125062
Palau;Ngerulmud;Oceania;Micronesia;17950
Palestine; State of;Ramallah;Asia;Western Asia;4682467
Panama;Panama City;Americas;Central America;3814672
Papua New Guinea;Port Moresby;Oceania;Melanesia;8083700
Paraguay;Asunción;Americas;South America;6854536
Peru;Lima;Americas;South America;31488700
Philippines;Manila;Asia;South-Eastern Asia;103279800
Pitcairn;Adamstown;Oceania;Polynesia;56
Poland;Warsaw;Europe;Eastern Europe;38437239
Portugal;Lisbon;Europe;Southern Europe;10374822
Puerto Rico;San Juan;Americas;Caribbean;3474182
Qatar;Doha;Asia;Western Asia;2587564
Republic of Kosovo;Pristina;Europe;Eastern Europe;1733842
Réunion;Saint-Denis;Africa;Eastern Africa;840974
Romania;Bucharest;Europe;Eastern Europe;19861408
Russian Federation;Moscow;Europe;Eastern Europe;146599183
Rwanda;Kigali;Africa;Eastern Africa;11553188
Saint Barthélemy;Gustavia;Americas;Caribbean;9417
Saint Helena; Ascension and Tristan da Cunha;Jamestown;Africa;Western Africa;4255
Saint Kitts and Nevis;Basseterre;Americas;Caribbean;46204
Saint Lucia;Castries;Americas;Caribbean;186000
Saint Martin (French part);Marigot;Americas;Caribbean;36979
Saint Pierre and Miquelon;Saint-Pierre;Americas;Northern America;6069
Saint Vincent and the Grenadines;Kingstown;Americas;Caribbean;109991
Samoa;Apia;Oceania;Polynesia;194899
San Marino;City of San Marino;Europe;Southern Europe;33005
Sao Tome and Principe;São Tomé;Africa;Middle Africa;187356
Saudi Arabia;Riyadh;Asia;Western Asia;32248200
Senegal;Dakar;Africa;Western Africa;14799859
Serbia;Belgrade;Europe;Southern Europe;7076372
Seychelles;Victoria;Africa;Eastern Africa;91400
Sierra Leone;Freetown;Africa;Western Africa;7075641
Singapore;Singapore;Asia;South-Eastern Asia;5535000
Sint Maarten (Dutch part);Philipsburg;Americas;Caribbean;38247
Slovakia;Bratislava;Europe;Eastern Europe;5426252
Slovenia;Ljubljana;Europe;Southern Europe;2064188
Solomon Islands;Honiara;Oceania;Melanesia;642000
Somalia;Mogadishu;Africa;Eastern Africa;11079000
South Africa;Pretoria;Africa;Southern Africa;55653654
South Georgia and the South Sandwich Islands;King Edward Point;Americas;South America;30
Korea (Republic of);Seoul;Asia;Eastern Asia;50801405
South Sudan;Juba;Africa;Middle Africa;12131000
Spain;Madrid;Europe;Southern Europe;46438422
Sri Lanka;Colombo;Asia;Southern Asia;20966000
Sudan;Khartoum;Africa;Northern Africa;39598700
Suriname;Paramaribo;Americas;South America;541638
Svalbard and Jan Mayen;Longyearbyen;Europe;Northern Europe;2562
Swaziland;Lobamba;Africa;Southern Africa;1132657
Sweden;Stockholm;Europe;Northern Europe;9894888
Switzerland;Bern;Europe;Western Europe;8341600
Syrian Arab Republic;Damascus;Asia;Western Asia;18564000
Taiwan;Taipei;Asia;Eastern Asia;23503349
Tajikistan;Dushanbe;Asia;Central Asia;8593600
Tanzania; United Republic of;Dodoma;Africa;Eastern Africa;55155000
Thailand;Bangkok;Asia;South-Eastern Asia;65327652
Timor-Leste;Dili;Asia;South-Eastern Asia;1167242
Togo;Lomé;Africa;Western Africa;7143000
Tokelau;Fakaofo;Oceania;Polynesia;1411
Tonga;Nuku'alofa;Oceania;Polynesia;103252
Trinidad and Tobago;Port of Spain;Americas;Caribbean;1349667
Tunisia;Tunis;Africa;Northern Africa;11154400
Turkey;Ankara;Asia;Western Asia;78741053
Turkmenistan;Ashgabat;Asia;Central Asia;4751120
Turks and Caicos Islands;Cockburn Town;Americas;Caribbean;31458
Tuvalu;Funafuti;Oceania;Polynesia;10640
Uganda;Kampala;Africa;Eastern Africa;33860700
Ukraine;Kiev;Europe;Eastern Europe;42692393
United Arab Emirates;Abu Dhabi;Asia;Western Asia;9856000
United Kingdom of Great Britain and Northern Ireland;London;Europe;Northern Europe;65110000
United States of America;Washington; D.C.;Americas;Northern America;323947000
Uruguay;Montevideo;Americas;South America;3480222
Uzbekistan;Tashkent;Asia;Central Asia;31576400
Vanuatu;Port Vila;Oceania;Melanesia;277500
Venezuela (Bolivarian Republic of);Caracas;Americas;South America;31028700
Viet Nam;Hanoi;Asia;South-Eastern Asia;92700000
Wallis and Futuna;Mata-Utu;Oceania;Polynesia;11750
Western Sahara;El Aaiún;Africa;Northern Africa;510713
Yemen;Sana'a;Asia;Western Asia;27478000
Zambia;Lusaka;Africa;Eastern Africa;15933883
Zimbabwe;Harare;Africa;Eastern Africa;14240168
